-0.42,-0.446,-2.836,-1.018,-0.468,-1.626,-0.332,-1.837,0.299,-2.476,-1.024,-1.068,1.463,-0.058,0.292,0.046,-0.206,-1.087,-0.135,-0.159,0.033,0.016,-0.549,-0.379,-0.134,1.496,-0.16,0.704,-0.508,-0.248,0.235,-0.109,-0.785,-0.156,-0.352,-0.21,-0.063,0.759,-0.043,0.026
-0.166,-0.337,-3.038,-1.416,-0.5,-1.689,-0.159,-1.803,-0.143,-2.946,-1.043,-1.314,1.443,-0.169,0.303,-0.758,-0.223,-1.05,-0.129,-0.171,0.194,-0.004,-0.553,-0.203,-0.137,1.784,-0.484,0.24,-0.623,-0.066,0.068,-0.369,-0.771,-0.138,-0.559,0.047,-0.016,0.175,-0.069,0.111
-0.301,-0.529,-3.708,-1.187,-0.636,-1.725,-0.408,-2.444,0.003,-3.094,-1.253,-1.887,1.694,-0.129,0.29,-0.051,-0.174,-1.197,-0.122,-0.193,0.177,0.141,-0.589,-0.173,-0.064,1.701,-0.125,1.171,-0.868,0.042,0.341,-0.157,-0.759,-0.092,-0.445,-0.15,-0.03,0.59,-0.127,0.047
0.009,-0.587,-2.837,-1.235,-0.566,-0.529,-0.256,-1.46,-0.465,-1.663,-0.889,-1.013,0.0,-0.345,-0.27,0.902,-0.243,-1.243,-0.153,-0.163,-0.182,-0.258,-2.984,-1.565,-0.423,0.63,-0.352,-0.722,-1.722,-1.278,-0.355,-2.114,-0.281,-0.771,-1.157,-0.984,-0.275,-0.413,-0.065,0.023
-0.422,-0.378,-2.073,-0.773,-0.369,-1.604,-0.228,-1.521,0.261,-1.891,-0.891,-0.885,1.474,0.095,0.271,0.053,-0.206,-0.884,-0.135,-0.159,0.017,-0.054,-0.502,-0.259,-0.168,1.389,-0.121,0.574,-0.5,-0.533,0.046,-0.113,-0.773,-0.001,-0.376,-0.196,-0.113,0.646,-0.051,-0.016
-0.205,-0.446,-2.572,-1.211,-0.859,-1.811,-0.443,-2.583,0.051,-3.578,-1.264,-1.819,1.858,-0.063,0.331,-0.985,-0.185,-1.333,-0.094,-0.083,0.391,-0.023,-0.202,-0.034,0.233,1.419,-0.564,0.428,-1.305,0.044,0.119,-0.996,-0.698,-0.128,-0.81,0.161,0.042,-0.244,-0.094,0.222
-0.072,-0.485,-2.776,-1.071,-0.604,-0.786,-0.309,-2.07,-0.382,-2.252,-1.007,-0.993,-0.357,-0.367,0.05,0.326,-0.24,-1.36,-0.127,-0.157,-0.245,-0.188,-1.381,-0.794,-0.064,0.783,-0.283,0.516,-1.41,-0.334,0.094,-1.146,0.142,-0.547,-0.912,-0.484,-0.133,0.296,-0.066,0.027
-0.189,-0.425,-2.544,-0.897,-0.425,-0.655,-0.278,-1.521,-0.057,-1.823,-0.763,-0.877,2.023,-0.294,0.198,0.28,-0.24,-0.913,-0.125,-0.129,-0.049,-0.156,-1.416,-0.518,-0.158,0.75,-0.209,0.525,-1.042,-0.489,0.0,-0.732,-0.219,-0.392,-0.557,-0.266,-0.133,0.133,-0.066,-0.009
-0.495,-0.612,-4.034,-1.398,-0.881,-1.791,-0.341,-2.534,-0.178,-3.332,-1.3,-1.911,1.87,-0.182,0.118,-0.641,-0.265,-1.523,-0.122,-0.183,0.28,0.122,-1.167,-0.23,0.09,1.372,-0.043,0.866,-0.912,-0.19,0.096,-0.779,-0.718,-0.25,-0.491,-0.355,-0.031,0.475,-0.127,0.093
-0.02,-0.488,-2.936,-1.159,-0.59,-0.665,-0.256,-1.397,-0.314,-1.863,-0.848,-1.136,-0.031,-0.301,0.03,0.579,-0.264,-0.981,-0.155,-0.163,-0.212,-0.255,-2.886,-1.448,-0.398,0.618,-0.329,-0.591,-1.631,-1.209,-0.312,-2.141,-0.251,-0.753,-1.155,-0.97,-0.206,-0.338,-0.065,0.023
-0.027,0.275,0.14,0.144,-0.202,-0.641,0.038,-0.438,0.564,-0.549,-0.347,0.312,0.062,0.269,-0.098,-0.564,0.574,0.466,-0.203,-0.399,0.306,-0.167,-2.55,-1.175,-0.948,1.348,-0.577,-1.452,-1.839,-1.396,-0.502,-3.396,-0.226,-0.718,-1.062,-1.386,-0.286,-0.576,-0.238,-0.115
-0.23,0.067,-0.329,-1.197,0.162,-0.803,-0.954,-0.968,-0.503,-0.469,-0.14,0.044,-0.149,-0.592,-0.219,-1.281,0.281,-0.886,-0.008,0.107,-0.078,0.156,0.248,1.312,-0.084,0.018,0.039,-0.922,-0.588,0.104,-0.085,-1.12,0.046,0.163,-0.225,0.226,-0.203,-1.08,-0.011,-0.01
-0.21,0.079,-1.155,-0.489,-0.065,-0.503,-0.035,-0.862,-0.329,-0.81,-0.341,0.324,-0.211,-0.231,0.032,-0.908,0.154,-0.688,-0.072,-0.087,-0.275,-0.084,-0.56,-0.114,-0.069,0.466,-0.265,-0.669,-0.737,-0.28,-0.161,-1.729,-0.018,-0.234,-0.32,-0.619,-0.452,-0.689,-0.043,-0.018
-0.26,0.046,-1.16,-0.752,-0.065,-0.559,-0.117,-0.776,-0.482,-0.643,-0.233,0.21,-0.211,-0.387,-0.097,-0.907,0.215,-0.688,-0.086,-0.076,-0.321,-0.069,-0.383,-0.027,-0.028,0.252,-0.147,-0.858,-0.651,-0.07,-0.147,-1.254,-0.026,-0.166,-0.261,-0.551,-0.449,-0.964,-0.018,-0.039
-0.331,0.226,0.005,0.027,-0.293,-0.765,0.015,-0.628,-0.001,-0.899,-0.563,0.154,0.0,-0.103,-0.502,-0.75,0.539,0.148,-0.176,-0.41,0.364,-0.15,-2.448,-1.422,-0.891,1.522,-0.559,-1.251,-1.736,-1.172,-0.347,-3.033,-0.226,-0.942,-1.001,-1.176,-0.214,-0.606,-0.053,-0.105
-0.048,0.207,-0.214,-0.035,-0.258,-0.528,-0.003,-0.718,-0.192,-0.989,-0.565,0.014,0.001,-0.166,-0.466,-0.75,0.522,0.041,-0.172,-0.399,0.253,-0.206,-3.099,-1.432,-0.907,1.108,-0.599,-1.106,-1.522,-1.364,-0.498,-3.733,-0.194,-0.892,-0.999,-1.387,-0.241,-0.566,-0.081,-0.125
